Hybrid_CSID,Center Name,City,Lat,Long,% Ach.,Aug 24 Target,Aug 24 Achieved,Delta,
3077,GymX Prime (Belathur),Bangalore,13,77.76,0.00%,"8,767",0,"-8,767",
1125,Cult Siliguri,Others,26.74,88.46,0.00%,"7,765",0,"-7,765",
1586,Volt Fitness Studio (Begumpet),Hyderabad,17.44,78.48,86.36%,"18,457","15,940","-2,517",
715,Stark Fitness Studio (Nizampet),Hyderabad,17.52,78.38,0.00%,"17,904",0,"-17,904",
600,Cult Pal Heights,Others,20.3,85.82,134.84%,"13,491","18,191","4,700",
3465,cult gym Kandivali West,Mumbai,19.2,72.85,61.14%,"23,635","14,450","-9,185",
1877,Cult Mittal's City Mall Bathinda,Others,30.23,74.94,0.00%,"8,490",0,"-8,490",
3345,Verofit (Bhandup),Mumbai,19.16,72.94,,0,"56,700","56,700",
2497,EMOM Fitness,Bangalore,13.08,77.61,0.00%,"11,155",0,"-11,155",0.00%
2525,Cult Tumkur,Others,13.35,77.1,0.00%,"12,900",0,"-12,900",0.00%
524,Turbo Fitness (Bandra),Mumbai,19.06,72.83,87.26%,"18,593","16,224","-2,369",87.26%
1040,Muscle Junkie (Model Town),Gurgaon,28.71,77.19,0.00%,"8,313",0,"-8,313",0.00%
1128,B3 Wellness Studio (JP Nagar),Bangalore,12.91,77.59,135.36%,"11,222","15,190","3,968",135.36%
2602,Cult  Gulmohar Colony,Others,23.18,77.44,0.00%,"19,018",0,"-19,018",0.00%
1096,Cult C Scheme,Others,26.92,75.81,0.00%,"12,239",0,"-12,239",0.00%
391,"Cult MG Road, Mangalore",Others,12.88,74.84,0.00%,"8,859",0,"-8,859",0.00%
1717,Cult Bahu Plaza Main,Others,32.71,74.87,0.00%,"18,323",0,"-18,323",0.00%
346,Cult Financial District,Hyderabad,17.42,78.35,84.77%,"15,297","12,968","-2,329",84.77%
3428,Oxofit Premium Fitness,Pune,18.52,73.94,0.00%,"16,080",0,"-16,080",0.00%
494,Cult Nungambakkam,Chennai,13.06,80.25,0.00%,"7,399",0,"-7,399",0.00%
613,Cult Alwarpet,Chennai,13.04,80.26,101.07%,"15,277","15,440",163,101.07%
394,Cult Race Course Rd,Others,11,76.98,0.00%,"8,462",0,"-8,462",0.00%
2807,Forth Fitness (TC Palya),Bangalore,13.02,77.7,73.30%,"12,046","8,830","-3,216",73.30%
3495,Cult Somajiguda - Hybrid,Hyderabad,78.46,17.42,0.00%,"7,878",0,"-7,878",0.00%
1065,Cult OIC Lower Parel,Mumbai,19.01,72.83,342.29%,"11,138","38,125","26,987",342.29%
1095,Fitness Turf (Kompally),Hyderabad,17.54,78.49,0.00%,"8,978",0,"-8,978",0.00%
3400,Impackt Fitness 4.0 (Kondapur),Hyderabad,17.47,78.34,0.00%,"13,559",0,"-13,559",0.00%
349,Cult Elamkulam,Others,9.97,76.31,137.94%,"5,647","7,790","2,143",137.94%
3510,V R New Fitness,Bangalore,13,77.72,0.00%,"7,878",0,"-7,878",0.00%
3222,D Fitness Planet (Yelahanka),Bangalore,13.09,77.6,0.00%,"7,210",0,"-7,210",0.00%
291,Cult Srinagar Colony,Hyderabad,17.43,78.44,0.00%,289,0,-289,0.00%
270,Cult Kalyani Nagar old,Pune,18.54,73.9,10052.43%,281,"28,294","28,013",10052.43%
333,Cult Vijayanagar (Mysore),Others,12.32,76.63,0.00%,"8,293",0,"-8,293",0.00%
247,Cult LB Nagar,Hyderabad,17.35,78.55,5520.65%,289,"15,940","15,651",5520.65%
517,MultiFit (Kalyan Nagar),Bangalore,13.02,77.65,0.00%,"15,599",0,"-15,599",0.00%
3044,AGS Gym,Gurgaon,28.46,77.05,0.00%,293,0,-293,0.00%
514,MultiFit (Hennur),Bangalore,13.06,77.65,0.00%,"16,347",0,"-16,347",0.00%
3174,Cult Baner,Pune,18.56,73.78,309.43%,"15,756","48,756","33,000",309.43%
690,Gold's Gym (Kalyani Nagar),Pune,18.54,73.9,2116.79%,281,"5,958","5,677",2116.79%
801,Gold's Gym Belgaum,Others,15.84,74.5,0.00%,"5,028",0,"-5,028",0.00%
3481,Cult Magarpatta Hybrid,Pune,18.5,73.93,0.00%,"6,303",0,"-6,303",0.00%
149,Cult Hauz Khas,Gurgaon,28.55,77.21,6023.61%,293,"17,625","17,332",6023.61%
681,Cult Vijay Nagar,Others,22.75,75.89,0.00%,"7,497",0,"-7,497",0.00%
3513,"cult Ayyappa Nagar, KR Puram",Bangalore,13.01,77.72,0.00%,"9,454",0,"-9,454",0.00%
